date,operation_type,munition_type,system_id,system_name,manufacturer_primary,estimated_units_used,estimated_cost_usd_millions,target_type,location_gaza,casualties_reported
2023-10-07,Air Strike,JDAM,SYS009,JDAM,Boeing,850,21.25,Hamas Infrastructure,Gaza City,Multiple
2023-10-07,Air Strike,Paveway,SYS010,Paveway,Raytheon,420,14.70,Hamas Infrastructure,Khan Younis,Multiple
2023-10-07,Air Strike,SPICE 1000,SYS012,SPICE 1000,Rafael,180,32.40,Tunnels,Northern Gaza,Multiple
2023-10-08,Air Strike,JDAM,SYS009,JDAM,Boeing,920,23.00,Residential/Hamas,Gaza City,Multiple
2023-10-08,Air Strike,SPICE 2000,SYS013,SPICE 2000,Rafael,65,16.25,Command Centers,Khan Younis,Multiple
2023-10-09,Air Strike,GBU-39 SDB,SYS014,GBU-39 SDB,Boeing,1200,84.00,Multiple Targets,Gaza Strip,Multiple
2023-10-10,Air Strike,JDAM,SYS009,JDAM,Boeing,780,19.50,Residential,Jabaliya,Multiple
2023-10-11,Air Strike,SPICE 1000,SYS012,SPICE 1000,Rafael,145,26.10,Tunnels,Rafah,Multiple
2023-10-12,Air Strike,Paveway,SYS010,Paveway,Raytheon,380,13.30,Hamas Positions,Gaza City,Multiple
2023-10-13,Air Strike,JDAM,SYS009,JDAM,Boeing,650,16.25,Residential,Khan Younis,Multiple
2023-10-14,Air Strike,SPICE 250,SYS011,SPICE 250,Rafael,890,71.20,Urban Targets,Gaza City,Multiple
2023-10-15,Air Strike,GBU-39 SDB,SYS014,GBU-39 SDB,Boeing,1150,80.50,Multiple Targets,Northern Gaza,Multiple
2023-10-16,Ground Operation,Tank Round,SYS034,Merkava Mk IV,IMI/Elbit,2400,4.80,Urban Areas,Northern Gaza,Multiple
2023-10-17,Artillery,Artillery Shell,SYS038,ATMOS 2000,Elbit Systems,3200,9.60,Residential,Beit Hanoun,Multiple
2023-10-18,Air Strike,JDAM,SYS009,JDAM,Boeing,710,17.75,Hospital Area,Gaza City,Multiple
2023-10-19,Air Strike,SPICE 1000,SYS012,SPICE 1000,Rafael,125,22.50,Refugee Camp,Jabaliya,Multiple
2023-10-20,Loitering Munition,Harop,SYS018,Harop,IAI,45,6.75,Communications,Gaza Strip,Multiple
2023-10-21,Air Strike,Paveway,SYS010,Paveway,Raytheon,340,11.90,Hamas Positions,Khan Younis,Multiple
2023-10-22,Air Strike,JDAM,SYS009,JDAM,Boeing,580,14.50,Residential,Rafah,Multiple
2023-10-23,Ground Operation,Bulldozer,SYS036,D9 Bulldozer,Caterpillar,N/A,N/A,Infrastructure Demolition,Northern Gaza,N/A
2023-10-31,Air Strike,SPICE 2000,SYS013,SPICE 2000,Rafael,52,13.00,Refugee Camp,Jabaliya,195+ reported
2023-11-01,Air Strike,JDAM,SYS009,JDAM,Boeing,620,15.50,Residential,Gaza City,Multiple
2023-11-02,Air Strike,GBU-39 SDB,SYS014,GBU-39 SDB,Boeing,980,68.60,Multiple Targets,Khan Younis,Multiple
2023-11-03,Artillery,Mortar,SYS037,Cardom,Elbit Systems,1800,3.60,Urban Areas,Beit Hanoun,Multiple
