component_id,system_id,system_name,component_name,manufacturer_id,manufacturer_name,component_role,estimated_value_per_unit_usd_millions
COMP001,SYS001,F-35I Adir,Airframe,MFR001,Lockheed Martin,Primary Structure,85.0
COMP002,SYS001,F-35I Adir,F135 Engine,MFR018,Pratt & Whitney (RTX),Propulsion,18.0
COMP003,SYS001,F-35I Adir,AN/APG-81 AESA Radar,MFR004,Northrop Grumman,Sensors,12.0
COMP004,SYS001,F-35I Adir,Avionics Suite,MFR016,Collins Aerospace (RTX),Electronics,8.5
COMP005,SYS001,F-35I Adir,EO/IR Systems,MFR001,Lockheed Martin,Targeting,4.2
COMP006,SYS001,F-35I Adir,Israeli Mission Systems,MFR005,Elbit Systems,Custom Electronics,5.0
COMP007,SYS002,F-16I Sufa,Airframe,MFR001,Lockheed Martin,Primary Structure,25.0
COMP008,SYS002,F-16I Sufa,F110 Engine,MFR009,General Electric,Propulsion,8.0
COMP009,SYS002,F-16I Sufa,AN/APG-68 Radar,MFR004,Northrop Grumman,Sensors,3.5
COMP010,SYS002,F-16I Sufa,Israeli Avionics,MFR005,Elbit Systems,Electronics,4.0
COMP011,SYS003,F-15I Ra'am,Airframe,MFR002,Boeing,Primary Structure,35.0
COMP012,SYS003,F-15I Ra'am,F110 Engines (x2),MFR009,General Electric,Propulsion,16.0
COMP013,SYS003,F-15I Ra'am,AN/APG-70 Radar,MFR003,Raytheon,Sensors,5.0
COMP014,SYS003,F-15I Ra'am,Israeli Mission Systems,MFR005,Elbit Systems,Electronics,6.0
COMP015,SYS004,AH-64 Apache,Airframe,MFR002,Boeing,Primary Structure,18.0
COMP016,SYS004,AH-64 Apache,T700 Engines (x2),MFR009,General Electric,Propulsion,4.5
COMP017,SYS004,AH-64 Apache,Longbow Radar,MFR001,Lockheed Martin,Targeting,2.8
COMP018,SYS004,AH-64 Apache,TADS/PNVS,MFR001,Lockheed Martin,Sensors,3.2
COMP019,SYS005,Hermes 450,Complete System,MFR005,Elbit Systems,UAV,2.5
COMP020,SYS006,Hermes 900,Complete System,MFR005,Elbit Systems,UAV,8.0
